,Title,Desc_of_movies
4240,Triple 9 , A group of dirty Atlanta cops blackmailed by the Russian mob plan a seemingly impossible heist that sets off an explosive chain reaction of violence.
4241,Triple Frontier ,"Loyalties are tested when five former special forces operatives reunite to steal a drug lord's fortune, unleashing a chain of unintended consequences."
4242,Triple Threat ,A crew of ruthless criminals hired to kill an influential heiress meet their match in a trio of surprisingly adept fighters who come to her aid.
4243,Triumph in the Skies ,Three pilots navigate old and new romantic relationships against the backdrop of their Hong Kong-based airline employer.
4244,Trixie Mattel: Moving Parts ,Drag queen Trixie Mattel deals with the bittersweet reality of success in this documentary that explores her rise to fame and subsequent music career.
4245,Trois Couleurs - Blanc ,Krzysztof Kieslowski's dark comedy shadows Polish immigrant Karol Karol as he's humiliated by his wife in court during their divorce proceedings.
4246,Trois couleurs: Bleu ,"When a young Frenchwoman tries to uncover her famous composer husband's secret life, she ends up on a journey that leads to self-discovery."
4247,Trois couleurs: Rouge ,"In the final film in Krzysztof Kieslowski's ""three colors"" trilogy, an accident unites two very different people: a model and a retired judge."
4248,Trolls Holiday Special ,"When Queen Poppy realizes that Bridget and the Bergens don't have any holidays, she hatches a plan for Branch and the Snack Pack to help create one."
4249,Trophy ,This documentary explores the tensions between the lucrative big-game hunting business and wildlife conservation from a variety of perspectives.
4250,Troy ," The love-struck Prince Paris of Troy kidnaps beauty Helen from her husband, setting the two nations on a collision course for war."
4251,Truckbhar Swapna ,A taxi driver living in a Mumbai slum seeks to better his family's life by building an extension of his home while dealing with a lecherous contractor.
4252,True Grit ," After drifter Tom Chaney murders her father, 14-year-old Mattie Ross hires alcoholic U.S. Marshal Reuben ""Rooster"" Cogburn to help her exact revenge."
4253,True Memoirs of an International Assassin ,"After his publisher markets his crime novel as a memoir, a novice author finds himself forcibly recruited into a deadly political plot in Venezuela."
4254,True Romance ,"A retail clerk and a small-time hooker fall in love, commit murder and flee Detroit with a stash of cocaine. But cops and the mob are not far behind."
4255,The Truman Show ," Truman Burbank is the star of ""The Truman Show,"" a 24-hour-a-day TV phenomenon that broadcasts every aspect of his life without his knowledge."
4256,The Truth About Alcohol ,"Emergency room doctor Javid Abdelmoneim endeavors to learn the truth about alcohol, both its benefits and risks, by exploring the science of drinking."
4257,Truth or Dare ,"On Halloween, eight friends rent a haunted house to play a game said to have claimed lives years ago -- and soon find history repeating itself."
4258,Tu Hai Mera Sunday ,"When their Sunday soccer game on the beach is canceled, five friends set out to find another place to play in the noisy, crowded city of Mumbai."
4259,Tuca & Bertie ,Free-spirited toucan Tuca and self-doubting song thrush Bertie are best friends -- and birds -- who guide each other through life's ups and downs.
4260,Tully ,"Stressed and struggling with a newborn, Marlo warily accepts the gift of a night nanny, Tully, who turns out to be more than just a mother's helper."
4261,Tum Milo Toh Sahi ,An astute but old-fashioned law clerk steps up to help the owner of a cafe in a legal battle that has both business and personal ramifications.
4262,Tumi or not Tumi ,"Tumi Morake dishes out hot takes and fiery commentary about the concept of identity, politics, family life, weaves, and more in this stand-up special."
4263,TUNA GIRL ,A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.
4264,Tune in for Love ,"A student and a reticent teen first meet at a bakery in the 1990s and try to find each other through the years, as fate keeps pulling them apart."
4265,Tunisian Victory ,"British and American troops join forces to liberate a Nazi stranglehold in North Africa, sharing battles, hard work and a peaceful Christmas dinner."
4266,Turkish Dance School (Sen Kiminle Dans Ediyorsun) ,A woman recovering from an attempted suicide meets an aspiring doctor who takes a keen interest in her efforts to move forward in life through dance.
4267,Turn Up Charlie ,A down-and-out DJ plots to rebuild his music career while working as a nanny for his famous best friend's wild 11-year-old daughter.
4268,Turtle Tale ,"Bored turtle Hank gets a chance to see the world when vandals free him from a nature park, sending the staff and his pals Rafi and Goliath after him."
4269,Twice (Twice Bombed: The Legacy of Yamaguchi Tsutomu) ,"This documentary reenacts the experiences of late activist Tsutomu Yamaguchi, a survivor of both atomic bombings on Japan in 1945."
4270,Twilight ,"When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire."
4271,The Twilight Saga: Breaking Dawn: Part 1 ,"Not long after immortal soul mates Bella Swan and Edward Cullen say ""I do,"" a strange sensation begins to build inside Bella's burgeoning belly."
4272,The Twilight Saga: Breaking Dawn: Part 2 ," In the epic series' final chapter, Bella and Edward's newborn daughter forces the couple into a life-altering confrontation with the Voltri."
4273,The Twilight Saga: Eclipse ,"With a bloodthirsty enemy on a quest for revenge, Bella must reconcile her love for vampire Edward and her growing feelings for werewolf Jacob."
4274,The Twilight Saga: New Moon ,"Still reeling from the departure of vampire Edward Cullen, a heartbroken Bella Swan finds comfort in her friendship with werewolf Jacob Black."
4275,Twin Murders: the Silence of the White City (El silencio de la ciudad blanca) ,A detective returns to Vitoria-Gasteiz to solve murders mimicking those allegedly committed by a serial killer who's about to be released from prison.
4276,Twin Peaks: Fire Walk with Me ,"In the days leading up to her mysterious death, homecoming queen Laura Palmer is caught in a downward spiral of drug abuse and dangerous sex."
4277,The Twins Effect II ,An empress rules over a land where men are subservient to women. But a prophecy reveals that a boy will become king and restore the male regime.
4278,Twins Mission ,"To retrieve a healing bead stolen from its guardian monks, a pair of bickering twin sisters face off against an entire gang of rival twins."
4279,Twinsanity (Downward Twin) ,"When a yoga enthusiast begins to pull away from her identical twin sister and business partner, their lifelong bond turns deadly."
4280,Two Catalonias (Dos Cataluñas) ,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.
4281,Two Graves ,"A doctor and a drug addict kidnap the son of a local gangster, seeking revenge for the death of a loved one."
4282,The Two Popes ,"At a key turning point for the Catholic Church, Pope Benedict XVI forms a surprising friendship with the future Pope Francis. Inspired by true events."
4283,Twogether ,"Paired together for an unforgettable trip across Asia, stars Lee Seung-gi and Jasper Liu become buddies as they connect with fans and local cultures."
4284,Tyler Perry's The Single Moms Club , A diverse group of single moms come together after an occurrence at their kids' school -- and find they have more in common than they thought.
